,Munro Name,Time,Cloud Cover,Max Temperature (°C),Min Temperature (°C),Base Max Temperature (°C),Base Min Temperature (°C)
5,Stob Garbh,night,clear,11,9,16,13
6,Stob Garbh,AM,rain shwrs,11,10,20,17
7,Stob Garbh,PM,some clouds,12,12,20,20
8,Stob Garbh,night,light rain,11,10,16,15
9,Stob Garbh,AM,rain shwrs,11,11,17,17
10,Stob Garbh,PM,rain shwrs,11,10,18,17
11,Stob Garbh,night,rain shwrs,9,5,15,11
12,Stob Garbh,AM,some clouds,7,6,16,14
13,Stob Garbh,PM,some clouds,8,8,16,15
14,Stob Garbh,night,some clouds,8,8,13,12
15,Stob Garbh,AM,rain shwrs,10,10,16,15
16,Stob Garbh,PM,cloudy,11,10,14,13
17,Stob Garbh,night,light rain,11,11,15,13
0,Stob Ghabhar,AM,light rain,7,6,12,11
1,Stob Ghabhar,PM,rain shwrs,7,7,12,12
2,Stob Ghabhar,night,some clouds,8,7,11,10
3,Stob Ghabhar,AM,some clouds,10,10,15,13
4,Stob Ghabhar,PM,some clouds,11,10,16,15
5,Stob Ghabhar,night,some clouds,10,8,13,11
6,Stob Ghabhar,AM,rain shwrs,10,9,15,13
7,Stob Ghabhar,PM,some clouds,10,10,15,15
8,Stob Ghabhar,night,light rain,10,9,13,12
9,Stob Ghabhar,AM,light rain,9,9,13,13
10,Stob Ghabhar,PM,rain shwrs,9,9,14,13
11,Stob Ghabhar,night,rain shwrs,7,4,11,8
12,Stob Ghabhar,AM,cloudy,6,5,11,10
13,Stob Ghabhar,PM,light rain,6,6,11,11
14,Stob Ghabhar,night,light rain,7,6,10,10
15,Stob Ghabhar,AM,rain shwrs,10,8,12,12
16,Stob Ghabhar,PM,light rain,11,10,12,12
17,Stob Ghabhar,night,light rain,11,10,13,12
0,Stùc a' Chroin,AM,rain shwrs,9,8,17,15
1,Stùc a' Chroin,PM,rain shwrs,9,9,17,17
2,Stùc a' Chroin,night,some clouds,9,8,13,11
3,Stùc a' Chroin,AM,clear,11,10,19,15
4,Stùc a' Chroin,PM,rain shwrs,12,12,20,20
5,Stùc a' Chroin,night,clear,11,9,16,12
6,Stùc a' Chroin,AM,some clouds,12,10,20,16
7,Stùc a' Chroin,PM,cloudy,12,12,20,19
8,Stùc a' Chroin,night,rain shwrs,11,10,16,15
9,Stùc a' Chroin,AM,rain shwrs,11,11,18,16
10,Stùc a' Chroin,PM,light rain,11,10,17,15
11,Stùc a' Chroin,night,rain shwrs,9,5,14,10
12,Stùc a' Chroin,AM,some clouds,7,6,15,14
13,Stùc a' Chroin,PM,some clouds,8,8,16,15
14,Stùc a' Chroin,night,some clouds,9,8,13,11
15,Stùc a' Chroin,AM,some clouds,11,10,16,15
16,Stùc a' Chroin,PM,cloudy,11,11,15,13
17,Stùc a' Chroin,night,light rain,11,11,14,13
0,Stuchd an Lochain,AM,rain shwrs,8,7,16,14
1,Stuchd an Lochain,PM,light rain,9,9,16,16
2,Stuchd an Lochain,night,some clouds,9,8,13,11
3,Stuchd an Lochain,AM,clear,11,10,19,16
4,Stuchd an Lochain,PM,some clouds,12,12,20,19
5,Stuchd an Lochain,night,clear,11,9,16,12
6,Stuchd an Lochain,AM,rain shwrs,11,10,19,16
7,Stuchd an Lochain,PM,some clouds,12,12,19,19
8,Stuchd an Lochain,night,cloudy,11,10,16,15
9,Stuchd an Lochain,AM,rain shwrs,11,10,16,16
10,Stuchd an Lochain,PM,light rain,10,9,16,15
11,Stuchd an Lochain,night,rain shwrs,8,5,13,10
12,Stuchd an Lochain,AM,cloudy,7,6,14,13
13,Stuchd an Lochain,PM,rain shwrs,8,7,15,14
14,Stuchd an Lochain,night,some clouds,8,7,13,12
15,Stuchd an Lochain,AM,some clouds,11,9,16,15
16,Stuchd an Lochain,PM,light rain,11,11,16,14
17,Stuchd an Lochain,night,light rain,11,11,15,13
0,The Cairnwell,AM,some clouds,10,8,15,14
1,The Cairnwell,PM,rain shwrs,10,10,16,15
2,The Cairnwell,night,some clouds,9,8,13,10
3,The Cairnwell,AM,some clouds,12,10,17,14
4,The Cairnwell,PM,some clouds,13,12,18,16
5,The Cairnwell,night,some clouds,10,10,14,13
6,The Cairnwell,AM,light rain,12,11,17,15
7,The Cairnwell,PM,light rain,13,13,18,17
8,The Cairnwell,night,light rain,11,10,14,13
9,The Cairnwell,AM,light rain,10,10,14,13
10,The Cairnwell,PM,light rain,9,9,13,13
11,The Cairnwell,night,rain shwrs,8,5,12,9
12,The Cairnwell,AM,some clouds,7,7,13,12
13,The Cairnwell,PM,cloudy,8,8,13,12
14,The Cairnwell,night,some clouds,9,7,12,10
15,The Cairnwell,AM,some clouds,11,10,16,14
16,The Cairnwell,PM,cloudy,12,12,17,17
17,The Cairnwell,night,rain shwrs,12,12,15,14
0,The Devil's Point,AM,rain shwrs,9,7,15,13
1,The Devil's Point,PM,light rain,9,9,15,15
2,The Devil's Point,night,some clouds,8,7,13,11
3,The Devil's Point,AM,some clouds,11,9,17,14
4,The Devil's Point,PM,some clouds,12,12,19,17
5,The Devil's Point,night,cloudy,10,9,15,14
6,The Devil's Point,AM,rain shwrs,11,10,17,15
7,The Devil's Point,PM,light rain,12,12,18,18
8,The Devil's Point,night,rain shwrs,11,10,16,14
9,The Devil's Point,AM,light rain,9,9,14,13
10,The Devil's Point,PM,light rain,9,8,13,12
11,The Devil's Point,night,rain shwrs,6,4,11,9
12,The Devil's Point,AM,some clouds,6,6,12,12
13,The Devil's Point,PM,light rain,7,7,13,12
14,The Devil's Point,night,some clouds,8,7,12,11
15,The Devil's Point,AM,cloudy,11,9,16,13
16,The Devil's Point,PM,cloudy,12,11,17,17
17,The Devil's Point,night,light rain,12,11,15,14
0,A' Chràlaig,AM,light rain,6,6,12,11
1,A' Chràlaig,PM,rain shwrs,7,7,12,12
2,A' Chràlaig,night,some clouds,8,7,10,10
3,A' Chràlaig,AM,some clouds,9,9,15,13
4,A' Chràlaig,PM,some clouds,10,10,15,15
5,A' Chràlaig,night,light rain,9,8,12,12
6,A' Chràlaig,AM,rain shwrs,10,9,15,13
7,A' Chràlaig,PM,cloudy,10,10,16,15
8,A' Chràlaig,night,light rain,9,8,13,12
9,A' Chràlaig,AM,light rain,8,8,12,12
10,A' Chràlaig,PM,light rain,7,6,12,11
11,A' Chràlaig,night,some clouds,5,4,10,9
12,A' Chràlaig,AM,rain shwrs,5,4,10,10
13,A' Chràlaig,PM,light rain,6,6,10,10
14,A' Chràlaig,night,light rain,7,6,10,10
15,A' Chràlaig,AM,some clouds,10,8,15,12
16,A' Chràlaig,PM,cloudy,11,10,15,14
17,A' Chràlaig,night,light rain,11,10,12,12
0,A'Mhaighdean,AM,rain shwrs,8,7,15,14
1,A'Mhaighdean,PM,rain shwrs,8,8,16,16
2,A'Mhaighdean,night,rain shwrs,8,7,13,11
3,A'Mhaighdean,AM,some clouds,10,10,18,16
4,A'Mhaighdean,PM,some clouds,11,10,19,17
5,A'Mhaighdean,night,light rain,10,9,15,14
6,A'Mhaighdean,AM,rain shwrs,11,10,19,17
7,A'Mhaighdean,PM,cloudy,11,11,19,17
8,A'Mhaighdean,night,light rain,10,8,15,13
9,A'Mhaighdean,AM,light rain,7,7,13,13
10,A'Mhaighdean,PM,rain shwrs,6,6,14,14
11,A'Mhaighdean,night,rain shwrs,5,5,13,12
12,A'Mhaighdean,AM,rain shwrs,6,5,14,13
13,A'Mhaighdean,PM,light rain,7,6,13,13
14,A'Mhaighdean,night,light rain,8,7,12,12
15,A'Mhaighdean,AM,some clouds,11,9,18,14
16,A'Mhaighdean,PM,cloudy,12,12,19,17
17,A'Mhaighdean,night,light rain,11,10,15,14
0,Am Basteir,AM,rain shwrs,8,7,15,14
1,Am Basteir,PM,rain shwrs,9,8,15,14
2,Am Basteir,night,rain shwrs,9,8,13,13
3,Am Basteir,AM,some clouds,10,10,15,14
4,Am Basteir,PM,light rain,10,10,15,14
5,Am Basteir,night,rain shwrs,10,9,14,14
6,Am Basteir,AM,rain shwrs,11,10,15,14
7,Am Basteir,PM,light rain,11,10,14,14
8,Am Basteir,night,light rain,10,9,14,13
9,Am Basteir,AM,rain shwrs,8,8,14,14
10,Am Basteir,PM,rain shwrs,8,7,15,15
11,Am Basteir,night,light rain,6,6,14,13
12,Am Basteir,AM,cloudy,7,6,14,14
13,Am Basteir,PM,rain shwrs,8,7,14,13
14,Am Basteir,night,rain shwrs,9,8,13,12
15,Am Basteir,AM,light rain,11,10,14,13
16,Am Basteir,PM,light rain,11,11,13,13
17,Am Basteir,night,light rain,11,10,14,14
0,An Riabhachan,AM,rain shwrs,6,6,12,11
1,An Riabhachan,PM,rain shwrs,7,7,12,12
2,An Riabhachan,night,some clouds,8,6,10,10
3,An Riabhachan,AM,some clouds,9,9,15,13
4,An Riabhachan,PM,some clouds,10,10,15,15
5,An Riabhachan,night,light rain,9,8,13,12
6,An Riabhachan,AM,rain shwrs,9,9,15,13
7,An Riabhachan,PM,cloudy,10,10,16,14
8,An Riabhachan,night,light rain,9,8,13,12
9,An Riabhachan,AM,light rain,7,7,12,11
10,An Riabhachan,PM,light rain,7,6,11,11
11,An Riabhachan,night,some clouds,4,4,9,8
12,An Riabhachan,AM,rain shwrs,5,4,10,10
13,An Riabhachan,PM,light rain,6,5,10,10
14,An Riabhachan,night,light rain,7,6,10,10
15,An Riabhachan,AM,some clouds,10,8,15,12
16,An Riabhachan,PM,cloudy,11,10,15,14
17,An Riabhachan,night,light rain,11,9,13,12
0,An Teallach,AM,rain shwrs,7,6,11,10
1,An Teallach,PM,rain shwrs,7,7,12,11
2,An Teallach,night,some clouds,8,7,10,10
3,An Teallach,AM,some clouds,9,9,14,12
4,An Teallach,PM,some clouds,10,10,14,14
5,An Teallach,night,light rain,9,8,12,11
6,An Teallach,AM,rain shwrs,10,9,14,13
7,An Teallach,PM,cloudy,10,10,15,14
8,An Teallach,night,light rain,9,7,12,10
9,An Teallach,AM,light rain,7,6,10,10
10,An Teallach,PM,rain shwrs,5,5,10,10
11,An Teallach,night,rain shwrs,5,4,9,8
12,An Teallach,AM,rain shwrs,5,5,10,9
13,An Teallach,PM,light rain,6,6,10,9
14,An Teallach,night,light rain,7,6,10,10
15,An Teallach,AM,some clouds,10,8,14,11
16,An Teallach,PM,cloudy,11,11,15,14
17,An Teallach,night,light rain,11,9,13,12
0,Aonach Meadhoin,AM,light rain,7,7,12,11
1,Aonach Meadhoin,PM,rain shwrs,8,8,12,12
2,Aonach Meadhoin,night,some clouds,8,7,10,10
3,Aonach Meadhoin,AM,some clouds,10,10,15,13
4,Aonach Meadhoin,PM,some clouds,11,11,15,15
5,Aonach Meadhoin,night,light rain,10,9,12,11
6,Aonach Meadhoin,AM,rain shwrs,11,10,15,13
7,Aonach Meadhoin,PM,cloudy,11,11,16,14
8,Aonach Meadhoin,night,light rain,10,9,12,12
9,Aonach Meadhoin,AM,light rain,8,8,12,12
10,Aonach Meadhoin,PM,light rain,8,7,12,11
11,Aonach Meadhoin,night,some clouds,6,5,10,9
12,Aonach Meadhoin,AM,rain shwrs,6,5,10,10
13,Aonach Meadhoin,PM,light rain,7,6,10,10
14,Aonach Meadhoin,night,light rain,8,7,10,9
15,Aonach Meadhoin,AM,some clouds,11,9,14,12
16,Aonach Meadhoin,PM,cloudy,11,11,14,13
17,Aonach Meadhoin,night,light rain,11,10,12,12
0,Beinn Alligin,AM,light rain,7,7,15,14
1,Beinn Alligin,PM,rain shwrs,8,8,16,15
2,Beinn Alligin,night,rain shwrs,8,7,13,11
3,Beinn Alligin,AM,some clouds,10,10,17,16
4,Beinn Alligin,PM,some clouds,10,10,18,17
5,Beinn Alligin,night,rain shwrs,9,8,15,14
6,Beinn Alligin,AM,light rain,11,10,18,16
7,Beinn Alligin,PM,some clouds,11,10,18,17
8,Beinn Alligin,night,light rain,10,8,15,14
9,Beinn Alligin,AM,light rain,7,7,14,13
10,Beinn Alligin,PM,light rain,6,6,15,14
11,Beinn Alligin,night,light rain,5,5,13,12
12,Beinn Alligin,AM,rain shwrs,6,5,14,14
13,Beinn Alligin,PM,light rain,7,7,13,13
14,Beinn Alligin,night,light rain,8,7,13,12
15,Beinn Alligin,AM,cloudy,11,9,17,14
16,Beinn Alligin,PM,light rain,11,11,17,15
17,Beinn Alligin,night,light rain,11,10,14,14
0,Beinn Dearg (Ullapool),AM,light rain,7,6,11,11
1,Beinn Dearg (Ullapool),PM,rain shwrs,7,7,12,12
2,Beinn Dearg (Ullapool),night,some clouds,8,7,10,9
3,Beinn Dearg (Ullapool),AM,clear,9,8,14,12
4,Beinn Dearg (Ullapool),PM,some clouds,10,10,15,14
5,Beinn Dearg (Ullapool),night,cloudy,9,8,12,12
6,Beinn Dearg (Ullapool),AM,light rain,10,9,15,13
7,Beinn Dearg (Ullapool),PM,some clouds,10,10,15,14
8,Beinn Dearg (Ullapool),night,light rain,9,7,12,11
9,Beinn Dearg (Ullapool),AM,light rain,7,7,11,10
10,Beinn Dearg (Ullapool),PM,rain shwrs,6,5,10,10
11,Beinn Dearg (Ullapool),night,rain shwrs,4,4,9,8
12,Beinn Dearg (Ullapool),AM,rain shwrs,5,4,10,9
13,Beinn Dearg (Ullapool),PM,light rain,6,6,10,9
14,Beinn Dearg (Ullapool),night,light rain,7,6,10,10
15,Beinn Dearg (Ullapool),AM,some clouds,10,8,14,11
16,Beinn Dearg (Ullapool),PM,cloudy,11,11,15,15
17,Beinn Dearg (Ullapool),night,light rain,11,9,13,12
0,Beinn Eighe,AM,light rain,7,7,11,11
1,Beinn Eighe,PM,rain shwrs,8,7,12,11
2,Beinn Eighe,night,rain shwrs,8,7,10,9
3,Beinn Eighe,AM,some clouds,10,9,14,13
4,Beinn Eighe,PM,some clouds,10,10,15,14
5,Beinn Eighe,night,rain shwrs,9,8,12,11
6,Beinn Eighe,AM,light rain,10,10,14,13
7,Beinn Eighe,PM,some clouds,11,10,15,14
8,Beinn Eighe,night,light rain,10,8,12,11
9,Beinn Eighe,AM,light rain,7,7,10,10
10,Beinn Eighe,PM,light rain,6,6,11,10
11,Beinn Eighe,night,light rain,5,5,9,8
12,Beinn Eighe,AM,rain shwrs,6,5,10,10
13,Beinn Eighe,PM,light rain,7,6,10,10
14,Beinn Eighe,night,light rain,8,7,10,10
15,Beinn Eighe,AM,cloudy,11,9,14,12
16,Beinn Eighe,PM,cloudy,11,11,15,13
17,Beinn Eighe,night,light rain,11,9,13,12
0,Beinn Fhada,AM,light rain,7,7,11,11
1,Beinn Fhada,PM,rain shwrs,8,7,12,12
2,Beinn Fhada,night,some clouds,8,7,10,10
3,Beinn Fhada,AM,some clouds,10,10,15,13
4,Beinn Fhada,PM,some clouds,11,10,15,14
5,Beinn Fhada,night,light rain,9,8,12,11
6,Beinn Fhada,AM,rain shwrs,10,9,15,13
7,Beinn Fhada,PM,cloudy,11,11,15,14
8,Beinn Fhada,night,light rain,10,9,12,12
9,Beinn Fhada,AM,light rain,8,8,11,11
10,Beinn Fhada,PM,light rain,7,7,11,11
11,Beinn Fhada,night,rain shwrs,5,4,10,8
12,Beinn Fhada,AM,rain shwrs,6,5,10,10
13,Beinn Fhada,PM,light rain,6,6,10,10
14,Beinn Fhada,night,light rain,8,6,10,9
15,Beinn Fhada,AM,some clouds,10,9,15,12
16,Beinn Fhada,PM,cloudy,11,11,14,13
17,Beinn Fhada,night,light rain,11,10,12,12
0,Beinn Fhionnlaidh (Mullardoch),AM,light rain,7,7,12,11
1,Beinn Fhionnlaidh (Mullardoch),PM,rain shwrs,8,8,12,12
2,Beinn Fhionnlaidh (Mullardoch),night,some clouds,8,7,10,10
3,Beinn Fhionnlaidh (Mullardoch),AM,some clouds,10,10,15,13
4,Beinn Fhionnlaidh (Mullardoch),PM,some clouds,11,11,15,15
5,Beinn Fhionnlaidh (Mullardoch),night,light rain,10,9,13,12
6,Beinn Fhionnlaidh (Mullardoch),AM,rain shwrs,11,10,15,13
7,Beinn Fhionnlaidh (Mullardoch),PM,cloudy,11,11,16,14
8,Beinn Fhionnlaidh (Mullardoch),night,light rain,10,9,13,12
9,Beinn Fhionnlaidh (Mullardoch),AM,light rain,8,8,12,12
10,Beinn Fhionnlaidh (Mullardoch),PM,light rain,8,7,11,11
11,Beinn Fhionnlaidh (Mullardoch),night,some clouds,6,5,10,9
12,Beinn Fhionnlaidh (Mullardoch),AM,rain shwrs,6,5,10,10
13,Beinn Fhionnlaidh (Mullardoch),PM,light rain,7,6,10,10
14,Beinn Fhionnlaidh (Mullardoch),night,light rain,8,7,10,10
15,Beinn Fhionnlaidh (Mullardoch),AM,some clouds,11,9,15,12
16,Beinn Fhionnlaidh (Mullardoch),PM,cloudy,11,11,15,14
17,Beinn Fhionnlaidh (Mullardoch),night,light rain,11,10,13,12
0,Beinn Liath Mhòr,AM,light rain,8,7,15,15
1,Beinn Liath Mhòr,PM,rain shwrs,8,8,16,15
2,Beinn Liath Mhòr,night,rain shwrs,8,7,13,11
3,Beinn Liath Mhòr,AM,some clouds,10,10,18,16
4,Beinn Liath Mhòr,PM,some clouds,11,11,19,18
5,Beinn Liath Mhòr,night,rain shwrs,10,9,15,14
6,Beinn Liath Mhòr,AM,light rain,11,10,18,17
7,Beinn Liath Mhòr,PM,some clouds,12,11,19,17
8,Beinn Liath Mhòr,night,light rain,10,9,15,14
9,Beinn Liath Mhòr,AM,light rain,8,8,14,14
10,Beinn Liath Mhòr,PM,light rain,7,7,15,15
11,Beinn Liath Mhòr,night,light rain,6,5,13,12
12,Beinn Liath Mhòr,AM,rain shwrs,7,6,14,14
13,Beinn Liath Mhòr,PM,light rain,7,7,13,13
14,Beinn Liath Mhòr,night,light rain,8,7,12,11
15,Beinn Liath Mhòr,AM,cloudy,11,9,18,14
16,Beinn Liath Mhòr,PM,cloudy,12,11,18,15
17,Beinn Liath Mhòr,night,light rain,11,10,15,14
0,Beinn Sgritheall,AM,light rain,8,7,15,14
1,Beinn Sgritheall,PM,rain shwrs,8,7,16,15
2,Beinn Sgritheall,night,some clouds,8,7,12,11
3,Beinn Sgritheall,AM,some clouds,10,10,18,16
4,Beinn Sgritheall,PM,some clouds,11,10,18,16
5,Beinn Sgritheall,night,rain shwrs,9,8,15,14
6,Beinn Sgritheall,AM,light rain,11,10,17,15
7,Beinn Sgritheall,PM,rain shwrs,11,10,18,15
8,Beinn Sgritheall,night,light rain,10,9,14,14
9,Beinn Sgritheall,AM,light rain,8,8,14,14
10,Beinn Sgritheall,PM,rain shwrs,8,7,16,15
11,Beinn Sgritheall,night,some clouds,6,5,13,13
12,Beinn Sgritheall,AM,rain shwrs,6,6,14,14
13,Beinn Sgritheall,PM,light rain,7,7,13,13
14,Beinn Sgritheall,night,light rain,8,7,13,12
15,Beinn Sgritheall,AM,some clouds,11,9,17,15
16,Beinn Sgritheall,PM,light rain,11,11,16,14
17,Beinn Sgritheall,night,mod. rain,11,10,14,14
0,Ben Hope,AM,rain shwrs,8,7,15,14
1,Ben Hope,PM,rain shwrs,8,8,15,15
2,Ben Hope,night,some clouds,9,8,13,12
3,Ben Hope,AM,rain shwrs,10,9,16,15
4,Ben Hope,PM,clear,10,10,16,15
5,Ben Hope,night,rain shwrs,9,9,14,13
6,Ben Hope,AM,light rain,11,9,17,15
7,Ben Hope,PM,some clouds,11,11,18,17
8,Ben Hope,night,light rain,10,8,15,14
9,Ben Hope,AM,light rain,8,7,14,14
10,Ben Hope,PM,light rain,7,6,14,14
11,Ben Hope,night,rain shwrs,6,5,13,12
12,Ben Hope,AM,rain shwrs,6,6,14,14
13,Ben Hope,PM,light rain,7,6,13,13
14,Ben Hope,night,rain shwrs,8,7,13,13
15,Ben Hope,AM,rain shwrs,10,8,16,13
16,Ben Hope,PM,some clouds,11,11,18,17
17,Ben Hope,night,light rain,11,10,15,14
0,Ben Klibreck,AM,rain shwrs,8,7,15,14
1,Ben Klibreck,PM,rain shwrs,8,8,16,15
2,Ben Klibreck,night,some clouds,9,8,13,12
3,Ben Klibreck,AM,rain shwrs,9,9,17,15
4,Ben Klibreck,PM,rain shwrs,10,10,17,17
5,Ben Klibreck,night,rain shwrs,9,9,14,13
6,Ben Klibreck,AM,rain shwrs,11,9,18,15
7,Ben Klibreck,PM,some clouds,11,11,18,18
8,Ben Klibreck,night,light rain,10,8,15,14
9,Ben Klibreck,AM,light rain,8,8,15,14
10,Ben Klibreck,PM,light rain,7,6,14,13
11,Ben Klibreck,night,some clouds,6,5,12,10
12,Ben Klibreck,AM,rain shwrs,6,6,14,13
13,Ben Klibreck,PM,light rain,7,6,12,12
14,Ben Klibreck,night,light rain,8,7,12,12
15,Ben Klibreck,AM,some clouds,11,8,16,13
16,Ben Klibreck,PM,some clouds,11,11,19,17
17,Ben Klibreck,night,light rain,11,10,14,14
0,Ben More (Mull),AM,light rain,8,7,16,14
1,Ben More (Mull),PM,some clouds,9,8,15,15
2,Ben More (Mull),night,light rain,9,9,13,12
3,Ben More (Mull),AM,cloudy,11,10,16,14
4,Ben More (Mull),PM,some clouds,11,10,16,15
5,Ben More (Mull),night,rain shwrs,10,9,14,14
6,Ben More (Mull),AM,some clouds,11,11,16,15
7,Ben More (Mull),PM,light rain,11,11,16,14
8,Ben More (Mull),night,light rain,10,9,15,13
9,Ben More (Mull),AM,some clouds,10,9,16,14
10,Ben More (Mull),PM,clear,10,9,15,14
11,Ben More (Mull),night,clear,8,5,13,12
12,Ben More (Mull),AM,some clouds,7,6,15,15
13,Ben More (Mull),PM,rain shwrs,7,7,14,14
14,Ben More (Mull),night,light rain,9,8,13,12
15,Ben More (Mull),AM,light rain,10,9,13,13
16,Ben More (Mull),PM,light rain,11,11,13,12
17,Ben More (Mull),night,light rain,12,11,15,14
0,Ben More Assynt,AM,rain shwrs,7,7,15,14
1,Ben More Assynt,PM,rain shwrs,8,8,16,15
2,Ben More Assynt,night,rain shwrs,8,7,13,11
3,Ben More Assynt,AM,some clouds,10,9,18,15
4,Ben More Assynt,PM,clear,10,10,19,17
5,Ben More Assynt,night,rain shwrs,9,8,14,14
6,Ben More Assynt,AM,rain shwrs,10,9,18,16
7,Ben More Assynt,PM,cloudy,11,10,18,17
8,Ben More Assynt,night,light rain,10,7,15,14
9,Ben More Assynt,AM,light rain,7,7,14,14
10,Ben More Assynt,PM,rain shwrs,6,6,15,14
11,Ben More Assynt,night,rain shwrs,5,5,12,11
12,Ben More Assynt,AM,rain shwrs,5,5,14,14
13,Ben More Assynt,PM,light rain,7,6,13,12
14,Ben More Assynt,night,light rain,7,7,13,12
15,Ben More Assynt,AM,cloudy,10,8,17,13
16,Ben More Assynt,PM,some clouds,11,11,19,18
17,Ben More Assynt,night,light rain,11,9,15,14
0,Ben Wyvis,AM,rain shwrs,7,7,12,12
1,Ben Wyvis,PM,rain shwrs,8,8,12,12
2,Ben Wyvis,night,some clouds,7,7,10,9
3,Ben Wyvis,AM,some clouds,10,9,15,12
4,Ben Wyvis,PM,some clouds,11,10,16,15
5,Ben Wyvis,night,some clouds,9,8,12,12
6,Ben Wyvis,AM,rain shwrs,11,9,16,14
7,Ben Wyvis,PM,some clouds,11,11,16,15
8,Ben Wyvis,night,rain shwrs,9,8,12,11
9,Ben Wyvis,AM,light rain,8,8,12,11
10,Ben Wyvis,PM,rain shwrs,7,6,11,11
11,Ben Wyvis,night,some clouds,5,4,9,8
12,Ben Wyvis,AM,rain shwrs,6,5,10,10
13,Ben Wyvis,PM,cloudy,6,6,10,10
14,Ben Wyvis,night,some clouds,8,7,10,10
15,Ben Wyvis,AM,some clouds,10,8,15,12
16,Ben Wyvis,PM,cloudy,11,11,16,15
17,Ben Wyvis,night,light rain,11,10,13,12
0,Bla Bheinn,AM,rain shwrs,8,7,15,14
1,Bla Bheinn,PM,clear,8,8,15,14
2,Bla Bheinn,night,some clouds,9,8,13,12
3,Bla Bheinn,AM,some clouds,10,10,15,14
4,Bla Bheinn,PM,cloudy,10,10,15,14
5,Bla Bheinn,night,rain shwrs,10,9,14,14
6,Bla Bheinn,AM,cloudy,11,10,15,14
7,Bla Bheinn,PM,light rain,11,10,15,14
8,Bla Bheinn,night,light rain,10,9,14,13
9,Bla Bheinn,AM,rain shwrs,8,7,14,14
10,Bla Bheinn,PM,light rain,7,7,14,14
11,Bla Bheinn,night,light rain,6,6,14,13
12,Bla Bheinn,AM,some clouds,7,6,14,14
13,Bla Bheinn,PM,light rain,8,7,14,14
14,Bla Bheinn,night,rain shwrs,9,8,13,12
15,Bla Bheinn,AM,rain shwrs,11,10,14,13
16,Bla Bheinn,PM,light rain,11,11,14,13
17,Bla Bheinn,night,light rain,11,10,14,14
0,Blaven,AM,rain shwrs,8,7,15,14
1,Blaven,PM,clear,8,8,15,14
2,Blaven,night,some clouds,9,8,13,12
3,Blaven,AM,some clouds,10,10,15,14
4,Blaven,PM,cloudy,10,10,15,14
5,Blaven,night,rain shwrs,10,9,14,14
6,Blaven,AM,cloudy,11,10,15,14
7,Blaven,PM,light rain,11,10,15,14
8,Blaven,night,light rain,10,9,14,13
9,Blaven,AM,rain shwrs,8,7,14,14
10,Blaven,PM,light rain,7,7,14,14
11,Blaven,night,light rain,6,6,14,13
12,Blaven,AM,some clouds,7,6,14,14
13,Blaven,PM,light rain,8,7,14,14
14,Blaven,night,rain shwrs,9,8,13,12
15,Blaven,AM,rain shwrs,11,10,14,13
16,Blaven,PM,light rain,11,11,14,13
17,Blaven,night,light rain,11,10,14,14
0,Bruach Na Frithe,AM,rain shwrs,7,7,15,14
1,Bruach Na Frithe,PM,rain shwrs,8,8,15,14
2,Bruach Na Frithe,night,rain shwrs,9,8,13,13
3,Bruach Na Frithe,AM,some clouds,10,9,15,14
4,Bruach Na Frithe,PM,light rain,10,10,15,14
5,Bruach Na Frithe,night,rain shwrs,10,9,14,14
6,Bruach Na Frithe,AM,rain shwrs,11,10,15,14
7,Bruach Na Frithe,PM,light rain,11,10,14,14
8,Bruach Na Frithe,night,light rain,10,8,14,13
9,Bruach Na Frithe,AM,rain shwrs,8,7,15,14
10,Bruach Na Frithe,PM,rain shwrs,7,7,15,15
11,Bruach Na Frithe,night,light rain,6,5,14,13
12,Bruach Na Frithe,AM,cloudy,7,6,14,14
13,Bruach Na Frithe,PM,rain shwrs,8,7,14,13
14,Bruach Na Frithe,night,rain shwrs,9,8,13,12
15,Bruach Na Frithe,AM,light rain,11,10,14,13
16,Bruach Na Frithe,PM,light rain,11,11,13,13
17,Bruach Na Frithe,night,light rain,11,10,14,14
0,Càrn Eige,AM,rain shwrs,6,5,12,11
1,Càrn Eige,PM,rain shwrs,6,6,12,12
2,Càrn Eige,night,some clouds,7,6,10,10
3,Càrn Eige,AM,some clouds,9,9,15,13
4,Càrn Eige,PM,some clouds,10,9,15,15
5,Càrn Eige,night,light rain,9,7,13,12
6,Càrn Eige,AM,rain shwrs,9,8,15,13
7,Càrn Eige,PM,cloudy,10,10,16,15
8,Càrn Eige,night,light rain,9,8,13,12
9,Càrn Eige,AM,light rain,7,7,12,12
10,Càrn Eige,PM,light rain,7,6,12,11
11,Càrn Eige,night,some clouds,4,3,10,9
12,Càrn Eige,AM,rain shwrs,4,4,10,10
13,Càrn Eige,PM,light rain,5,5,10,10
14,Càrn Eige,night,light rain,7,6,10,10
15,Càrn Eige,AM,some clouds,9,8,15,12
16,Càrn Eige,PM,cloudy,11,10,15,14
17,Càrn Eige,night,light rain,11,9,13,12
0,Càrn nan Gobhar (Mullardoch),AM,rain shwrs,8,7,15,14
1,Càrn nan Gobhar (Mullardoch),PM,rain shwrs,8,8,15,15
2,Càrn nan Gobhar (Mullardoch),night,some clouds,8,7,13,11
3,Càrn nan Gobhar (Mullardoch),AM,some clouds,10,10,18,15
4,Càrn nan Gobhar (Mullardoch),PM,some clouds,11,11,19,18
